sample_id,predicted_class,entropy,normalized_entropy,key_norm,cross_level_response_mean,cross_level_response_variance,z1_magnitude,z1_d0,z1_d1,z1_d2,z1_d3,z1_d4,z1_d5,z1_d6,z2_magnitude,z2_d0,z2_d1,z2_d2,z2_d3,z2_d4,z2_d5,z2_d6,z3_magnitude,z3_d0,z3_d1,z3_d2,z3_d3,z3_d4,z3_d5,z3_d6,z4_magnitude,z4_d0,z4_d1,z4_d2,z4_d3,z4_d4,z4_d5,z4_d6,label,error
dermamnist_id_000006,5,0.15332371364915187,0.07879280229027347,1.0,0.05494256690144539,0.0016034716546289435,0.09623352438211441,-0.022041326388716698,-0.05174557864665985,0.04048696905374527,-0.0473717525601387,-0.0420452319085598,-0.0013753731036558747,0.02108304761350155,0.09185515344142914,-0.022603856399655342,-0.05045770853757858,0.037089753895998,-0.044645000249147415,-0.039312221109867096,-0.0016737983096390963,0.021526172757148743,0.02785135805606842,-0.00707720872014761,-0.015336142852902412,0.010748903267085552,-0.013738049194216728,-0.01211797446012497,-0.0008494500070810318,0.006210814230144024,0.003830231726169586,-0.000988881685771048,-0.0021072598174214363,0.0014930183533579111,-0.001912464969791472,-0.0016219229437410831,-0.0001435283338651061,0.000845212081912905,4,1
dermamnist_id_002728,5,0.1463005805890963,0.07518362585246872,1.0,0.05493708892026916,0.0016037035894750406,0.09631533920764923,-0.022220216691493988,-0.05184824764728546,0.04052708297967911,-0.047394901514053345,-0.0420096181333065,-0.0012186536332592368,0.02096785604953766,0.09176469594240189,-0.02260509878396988,-0.05041598528623581,0.03705412894487381,-0.04459632933139801,-0.039265722036361694,-0.0016468118410557508,0.02148599550127983,0.027840493246912956,-0.007075777277350426,-0.015330374240875244,0.010744585655629635,-0.013732552528381348,-0.012113144621253014,-0.0008478264790028334,0.0062072440050542355,0.0038278272841125727,-0.0009884517639875412,-0.0021059135906398296,0.0014921000692993402,-0.0019112896407023072,-0.001620827242732048,-0.0001433210854884237,0.000844595255330205,5,0
dermamnist_id_000924,5,0.1455404451035222,0.07479299348645577,1.0,0.05535384075483307,0.0016482863295423154,0.09856809675693512,-0.023101884871721268,-0.052729882299900055,0.04125957936048508,-0.04786670580506325,-0.0439029186964035,-0.001106556155718863,0.02189217135310173,0.09140592068433762,-0.022566352039575577,-0.050166405737400055,0.03687755763530731,-0.04432900249958038,-0.03925537317991257,-0.0016114423051476479,0.021460141986608505,0.027644282206892967,-0.0070284632965922356,-0.015219608321785927,0.01066705770790577,-0.013630829751491547,-0.012035592459142208,-0.0008398540667258203,0.006166365463286638,0.003797063371166587,-0.0009806231828406453,-0.0020887022837996483,0.001479807891882956,-0.0018953781109303236,-0.0016088206321001053,-0.0001420743647031486,0.0008382200030609965,5,0
dermamnist_id_006792,5,0.15939815706541577,0.08191444869271033,1.0,0.05510580289410427,0.0016264558936133506,0.09765499830245972,-0.022674134001135826,-0.05223016440868378,0.04103701934218407,-0.047657743096351624,-0.04317494481801987,-0.0011851299786940217,0.0217626690864563,0.09130275249481201,-0.022509243339300156,-0.05010952055454254,0.03686542063951492,-0.04431410878896713,-0.03915368393063545,-0.0016218563541769981,0.021450433880090714,0.02766362950205803,-0.007031901273876429,-0.015230624005198479,0.010676255449652672,-0.01364183984696865,-0.012040741741657257,-0.0008410690352320671,0.006171532906591892,0.003801831277087331,-0.0009817216778174043,-0.002091437578201294,0.0014819472562521696,-0.0018978376174345613,-0.0016103909583762288,-0.00014222698519006371,0.0008393390453420579,5,0
dermamnist_id_004805,5,0.1650845830032911,0.08483669355619282,1.0000001192092896,0.05382300348719582,0.0015236671089985205,0.09296349436044693,-0.020895786583423615,-0.05033377557992935,0.039180271327495575,-0.04625976085662842,-0.039932966232299805,-0.0015321733662858605,0.020000983029603958,0.09089729189872742,-0.022316619753837585,-0.04998770356178284,0.03671083599328995,-0.04425148665904999,-0.03879623860120773,-0.0016928857658058405,0.02125139720737934,0.027628658339381218,-0.007017898373305798,-0.01521625742316246,0.010663392022252083,-0.013632209971547127,-0.012015406973659992,-0.0008450171444565058,0.006158585660159588,0.0038025693502277136,-0.000981523422524333,-0.002092316746711731,0.001482266467064619,-0.0018991408869624138,-0.001609555445611477,-0.0001426952803740278,0.0008387340931221843,1,1
dermamnist_id_005922,5,0.16917609822819196,0.08693931644804997,0.9999999403953552,0.05388200288871303,0.0015262367336446193,0.09299372881650925,-0.02097945660352707,-0.050285134464502335,0.03936147689819336,-0.046274468302726746,-0.03981242701411247,-0.0013945135287940502,0.020036835223436356,0.09104777872562408,-0.02236091159284115,-0.05006077140569687,0.036799106746912,-0.04432697594165802,-0.03883807361125946,-0.0016779007855802774,0.021291786804795265,0.02767632156610489,-0.007030479609966278,-0.015242185443639755,0.010683245956897736,-0.01365562342107296,-0.012034986168146133,-0.00084543542470783,0.006169564556330442,0.003810182446613908,-0.0009835967794060707,-0.0020965030416846275,0.0014854904729872942,-0.001902884803712368,-0.0016125497641041875,-0.00014282971096690744,0.0008404363761655986,6,1
dermamnist_id_003920,5,0.15563306715957445,0.0799795752312254,1.0,0.05502698413329199,0.001621182450375765,0.09745839983224869,-0.022602973505854607,-0.05212755501270294,0.04095008596777916,-0.04756037890911102,-0.043100178241729736,-0.0012092494871467352,0.02172502502799034,0.0912155956029892,-0.022483374923467636,-0.050062395632267,0.03682931512594223,-0.04427175223827362,-0.03911725804209709,-0.0016250594053417444,0.021432502195239067,0.027636174112558365,-0.007024660706520081,-0.01521555706858635,0.010665696114301682,-0.013628283515572548,-0.012028731405735016,-0.0008404613472521305,0.006165643222630024,0.003797766985371709,-0.0009806444868445396,-0.002089201472699642,0.0014803542289882898,-0.0018958135042339563,-0.0016086759278550744,-0.0001420912885805592,0.0008384643588215113,5,0
dermamnist_id_000300,5,0.17489460917490482,0.08987804974438898,1.0,0.05484431592049077,0.0015972704560429246,0.09605156630277634,-0.022154904901981354,-0.051693953573703766,0.04042406752705574,-0.04727071896195412,-0.04184050112962723,-0.001287561492063105,0.021021118387579918,0.09168726205825806,-0.022584306076169014,-0.05037188529968262,0.03702515363693237,-0.04456019401550293,-0.03922279551625252,-0.0016582116950303316,0.021483149379491806,0.027813488617539406,-0.007068779319524765,-0.015315496362745762,0.0107343140989542,-0.013719271868467331,-0.012100880965590477,-0.0008477476658299565,0.006201944313943386,0.003824946703389287,-0.0009877015836536884,-0.0021043492015451193,0.0014909720048308372,-0.0019098438788205385,-0.0016195671632885933,-0.00014328911493066698,0.0008440066012553871,5,0
dermamnist_id_002996,5,0.16170924107159595,0.08310211093256357,1.0,0.0535456933430396,0.0015056464542761226,0.09230641275644302,-0.02056138962507248,-0.04996670410037041,0.03895632177591324,-0.04603753983974457,-0.03955993428826332,-0.0016151367453858256,0.019909396767616272,0.09054071456193924,-0.02220042049884796,-0.04979029297828674,0.03657931834459305,-0.04409424215555191,-0.038624923676252365,-0.0016996723134070635,0.021179404109716415,0.027544159442186356,-0.006995061412453651,-0.015169934369623661,0.010631658136844635,-0.013591102324426174,-0.011977322399616241,-0.000842944486066699,0.006140512879937887,0.0037914866115897894,-0.0009785257279872894,-0.0020862966775894165,0.001478099962696433,-0.0018936030101031065,-0.0016046690288931131,-0.00014225035556592047,0.0008363694651052356,5,0
dermamnist_id_005210,5,0.15754758577257957,0.08096344317288476,0.9999998807907104,0.05490221502259374,0.001601532897425488,0.09627685695886612,-0.022157223895192146,-0.05179416388273239,0.04047628492116928,-0.047353386878967285,-0.04206971079111099,-0.0012524311896413565,0.021060701459646225,0.09167808294296265,-0.022576088085770607,-0.05036292225122452,0.03701621666550636,-0.04455021023750305,-0.03923802822828293,-0.0016477026510983706,0.021482720971107483,0.02782810665667057,-0.007072365842759609,-0.015323378145694733,0.010739734396338463,-0.01372608169913292,-0.012108173221349716,-0.0008473907364532351,0.006205332465469837,0.0038258135318756104,-0.0009878785349428654,-0.002104802755638957,0.0014912931947037578,-0.001910241786390543,-0.0016200412064790726,-0.00014323108189273626,0.000844228605274111,2,1
