sample_id,predicted_class,entropy,normalized_entropy,key_norm,cross_level_response_mean,cross_level_response_variance,z1_magnitude,z1_d0,z1_d1,z1_d2,z1_d3,z1_d4,z1_d5,z1_d6,z2_magnitude,z2_d0,z2_d1,z2_d2,z2_d3,z2_d4,z2_d5,z2_d6,z3_magnitude,z3_d0,z3_d1,z3_d2,z3_d3,z3_d4,z3_d5,z3_d6,z4_magnitude,z4_d0,z4_d1,z4_d2,z4_d3,z4_d4,z4_d5,z4_d6,label,error
dermamnist_id_000006,5,0.36013618099680184,0.185073386441629,1.0,0.047401331772562116,0.0011217377449899285,0.07920563220977783,-0.017106521874666214,-0.04990258812904358,0.03318886086344719,-0.03511801362037659,-0.025158101692795753,-0.007715522311627865,0.02152663841843605,0.08065684884786606,-0.016867253929376602,-0.05086240917444229,0.03141634911298752,-0.0371304489672184,-0.027044277638196945,-0.007162486203014851,0.02203831449151039,0.026121269911527634,-0.005096749402582645,-0.01658073626458645,0.00954101886600256,-0.011775092221796513,-0.010136802680790424,-0.0024441308341920376,0.006558254361152649,0.0036215761210769415,-0.0006623630179092288,-0.0022965315729379654,0.0013019300531595945,-0.0016407808288931847,-0.0014444536063820124,-0.00034812180092558265,0.0008990061469376087,4,1
dermamnist_id_002728,5,0.32670596732496937,0.1678936550506077,0.9999999403953552,0.04744247265625745,0.0011235769864428897,0.07926954329013824,-0.017350148409605026,-0.049825552850961685,0.03320290893316269,-0.03510025888681412,-0.025204237550497055,-0.007323930040001869,0.02183327078819275,0.08072813600301743,-0.016915861517190933,-0.05089476704597473,0.031440142542123795,-0.03715020418167114,-0.027070919051766396,-0.0071124304085969925,0.022103536874055862,0.02614612504839897,-0.005103326868265867,-0.016595963388681412,0.009549738839268684,-0.011785436421632767,-0.010147182270884514,-0.0024434339720755816,0.006566599011421204,0.0036260862834751606,-0.0006634267047047615,-0.0022993364837020636,0.0013035517185926437,-0.0016426662914454937,-0.0014463156694546342,-0.00034820515429601073,0.0009004132589325309,5,0
dermamnist_id_000924,5,0.37505070636788185,0.1927379363070586,1.0,0.047305094194598496,0.001117966822295115,0.07917532324790955,-0.017020730301737785,-0.049828965216875076,0.03317660093307495,-0.03517717123031616,-0.025175005197525024,-0.007757545914500952,0.021541114896535873,0.08039307594299316,-0.01680508255958557,-0.050687387585639954,0.031317632645368576,-0.03701826557517052,-0.026950888335704803,-0.007144687697291374,0.021974578499794006,0.02604108303785324,-0.005080739036202431,-0.016529396176338196,0.009511860087513924,-0.011739681474864483,-0.010104859247803688,-0.00243664113804698,0.006539276801049709,0.003610894549638033,-0.0006603032816201448,-0.0022896742448210716,0.0012981053441762924,-0.0016361054731532931,-0.0014400810468941927,-0.00034711151965893805,0.0008965004817582667,5,0
dermamnist_id_006792,5,0.3234854560180379,0.16623863962839258,1.0,0.04743349825730547,0.0011252777139831875,0.07954444736242294,-0.016995012760162354,-0.050207048654556274,0.033268921077251434,-0.03525945544242859,-0.02527351677417755,-0.007801266387104988,0.02163516730070114,0.08050314337015152,-0.01681414246559143,-0.050777629017829895,0.03135012835264206,-0.037057504057884216,-0.02698591724038124,-0.007152511738240719,0.022004233673214912,0.026071323081851006,-0.005086005665361881,-0.0165497288107872,0.00952233374118805,-0.011752516031265259,-0.010116848163306713,-0.00243938434869051,0.006546388380229473,0.003615079214796424,-0.0006610112031921744,-0.0022925157099962234,0.0012995307333767414,-0.0016378711443394423,-0.0014417222701013088,-0.00034750220947898924,0.000897502526640892,5,0
dermamnist_id_004805,5,0.3567250801887581,0.1833204273907192,1.0,0.04665070440387353,0.0010795801560098748,0.07700085639953613,-0.01726296916604042,-0.04839523136615753,0.03221102058887482,-0.03396335244178772,-0.024503353983163834,-0.006733176298439503,0.021265342831611633,0.08004874736070633,-0.016821010038256645,-0.05047103390097618,0.031156368553638458,-0.03682325780391693,-0.026863694190979004,-0.007001199759542942,0.021913085132837296,0.025953445583581924,-0.0050679463893175125,-0.016474010422825813,0.009478401392698288,-0.011697327718138695,-0.010074427351355553,-0.0024229916743934155,0.006517035886645317,0.0035997682716697454,-0.0006590071134269238,-0.0022827470675110817,0.001293988199904561,-0.0016304292948916554,-0.0014360796194523573,-0.0003453512326814234,0.0008937616366893053,1,1
dermamnist_id_005922,5,0.3601951931218425,0.1851037126748671,1.0,0.046779352240264416,0.001085183691534662,0.07718824595212936,-0.017083726823329926,-0.048565350472927094,0.03233963996171951,-0.03417687118053436,-0.024431494995951653,-0.0068771205842494965,0.021200820803642273,0.08028041571378708,-0.016839180141687393,-0.05062289535999298,0.031256455928087234,-0.03695124760270119,-0.026921764016151428,-0.007040920667350292,0.021954333409667015,0.026037566363811493,-0.005082822870463133,-0.016527701169252396,0.009509585797786713,-0.011736519634723663,-0.010105851106345654,-0.0024318245705217123,0.00653718039393425,0.003611180931329727,-0.0006608979310840368,-0.00229000486433506,0.001298113027587533,-0.0016357789281755686,-0.0014405136462301016,-0.0003465704503469169,0.0008964699227362871,6,1
dermamnist_id_003920,5,0.31411207505525596,0.16142167468921875,1.0,0.04735607880866155,0.001121572213856848,0.07938430458307266,-0.017041102051734924,-0.05015239864587784,0.0331307053565979,-0.03505373001098633,-0.025350019335746765,-0.0077877407893538475,0.021599195897579193,0.08040034770965576,-0.016802918165922165,-0.050719812512397766,0.03129695728421211,-0.036989182233810425,-0.026974491775035858,-0.007143426686525345,0.021977901458740234,0.02603016421198845,-0.00507837999612093,-0.01652393862605095,0.0095066512003541,-0.011732702143490314,-0.0101024080067873,-0.002435521688312292,0.006535729859024286,0.003609498729929328,-0.0006600688211619854,-0.002289033029228449,0.0012974662240594625,-0.0016351343365386128,-0.0014396863989531994,-0.0003469726361799985,0.0008960741688497365,5,0
dermamnist_id_000300,5,0.3644607819156312,0.1872957916852261,1.0,0.04752277600346133,0.001129435340494019,0.07963462918996811,-0.01746857911348343,-0.05004662275314331,0.033321626484394073,-0.03519120067358017,-0.025440264493227005,-0.00751088373363018,0.021897174417972565,0.08071029931306839,-0.016918927431106567,-0.05087915062904358,0.031429968774318695,-0.03713361173868179,-0.027080770581960678,-0.007131197489798069,0.022096240893006325,0.026123737916350365,-0.005099389236420393,-0.016581423580646515,0.009541531093418598,-0.011775103397667408,-0.010138759389519691,-0.002442252356559038,0.006561209447681904,0.003622437594458461,-0.0006627490511164069,-0.002296996070072055,0.001302235061302781,-0.0016410329844802618,-0.0014448696747422218,-0.00034795585088431835,0.0008995002135634422,5,0
dermamnist_id_002996,5,0.3829767148559717,0.19681109893069654,1.0000001192092896,0.04680197441484779,0.0010872951199821272,0.07739168405532837,-0.01714065670967102,-0.048679329454898834,0.032446637749671936,-0.03421924263238907,-0.024539144709706306,-0.00703829200938344,0.02122606709599495,0.08019880205392838,-0.016824666410684586,-0.05056663975119591,0.03123040869832039,-0.03691024333238602,-0.026894986629486084,-0.007052976172417402,0.021931808441877365,0.02601057104766369,-0.005077752750366926,-0.01651027798652649,0.009500153362751007,-0.01172427274286747,-0.010094882920384407,-0.002430258085951209,0.006530898157507181,0.0036068405024707317,-0.000660122255794704,-0.002287208801135421,0.0012965924106538296,-0.0016338416608050466,-0.0014387209666892886,-0.00034621916711330414,0.0008954532095231116,5,0
dermamnist_id_005210,5,0.3709552714218198,0.19063329907699414,1.0,0.04731489880941808,0.0011182328115202965,0.07917267829179764,-0.01716296747326851,-0.04975375533103943,0.033231042325496674,-0.03518171235918999,-0.02510976791381836,-0.007669339422136545,0.02160867303609848,0.08042139559984207,-0.016829460859298706,-0.0506933331489563,0.03133612871170044,-0.03703464940190315,-0.026949552819132805,-0.007135419640690088,0.02199648506939411,0.026053152978420258,-0.0050842054188251495,-0.016536377370357513,0.009516695514321327,-0.011745313182473183,-0.010109083727002144,-0.0024372171610593796,0.006543115712702274,0.003612368367612362,-0.000660712830722332,-0.0022905240766704082,0.0012986970832571387,-0.0016368088545277715,-0.0014406128320842981,-0.0003471554955467582,0.0008969519985839725,2,1
